city,lat,lon
Bagepalli,13.7836611,77.7972379
Hosadurga,13.7987759,76.2831034
Hindupur,13.8306127,77.492635
Bhadravathi,13.8502075,75.7037863
Bainduru,13.8662536,74.6270036
Hosanagara,13.916789,75.0657952
Shivamogga,13.9326093,75.574978
Madakasira,13.9405457,77.272588
Venkatagiri,13.957582,79.5809332
Bhatkal,13.9873619,74.5544089
Channagiri,14.0252,75.925
Murdeshwar,14.0959549,74.4883354
Penukonda,14.0846808,77.5966537
Pavagada,14.0994177,77.2804049
Sagara,14.1665017,75.0263852
Santebennur,14.1698888,76.0033586
Kothacheruvu,14.1870879,77.7671355
Talaguppa,14.2148828,74.911064
Honnali,14.2389785,75.6457434
Shikaripura,14.2639661,75.3587796
Honnavar,14.2810827,74.4446716
Challakere,14.3167885,76.6521533
Siddapura,14.3409562,74.8924253
Malebennuru,14.3533447,75.7384255
Siralkoppa,14.381916,75.2487921
Dharmavaram,14.4138405,77.7208432
Kumta,14.4271622,74.4117058
Kovur,14.5036085,79.9868404
Harihara,14.5116874,75.809288
Kalyandurg,14.5517958,77.1119702
Gokarna,14.5439629,74.3184418
Kamalapuram,14.5962938,78.6704194
Sirsi,14.6192362,74.8388611
Ranebennur,14.6165795,75.6341529
Byadagi,14.6719843,75.4858218
Ankola,14.6599889,74.3047846
Badvel,14.7433614,79.0610394
Harapanahalli,14.7880219,75.988032
Hanagalla,14.7653513,75.1244336
Haveri,14.7874825,75.3996731
Kotturu,14.8243692,76.2252832
Karwar,14.8120931,74.1319229
Ramapura,14.8812342,76.7822541
Bankapura,14.9217443,75.2639298
Uravakonda,14.9467802,77.2577907
Yellapura,14.9634438,74.7120788
Mundgod,14.9715262,75.0413079
Chagalamarri,14.9645072,78.5891171
Savanuru,14.9750243,75.3397064
Shiggaon,14.9899007,75.2234815
Huvina Hadagali,15.020624,75.9318973
Hagaribommanahalli,15.0468189,76.2117626
Pamuru,15.0944,79.4138
Lakshmeshvara,15.1248456,75.472885
Kalaghatagi,15.1818921,74.9718465
Mundaragi,15.2051817,75.8840183
Kandukur,15.213,79.9071
Shirahatti,15.234576,75.5791999
Kundagola,15.2565128,75.2478662
Kamalapura,15.3044681,76.4756219
Sirvel,15.3211685,78.5344897
Haliyal,15.3299733,74.7646665
Tanguturu,15.3401504,80.0393196
Kampli,15.4061695,76.604451
Kanigiri,15.4064336,79.5066283
Gadag-Betageri,15.4221812,75.6376639
Annigeri,15.4260116,75.4333351
Gangavathi,15.4308872,76.5319723
Dharwad,15.4540505,75.0066516
Holagunda,15.4884707,77.0462224
Tekkalakote,15.5337852,76.8772225
Valpoi,15.531466,74.1372751
Navalgund,15.5582208,75.3538481
Kanakagiri,15.5696792,76.4189879
Naregalla,15.5736978,75.8078454
Sankhali,15.5626483,74.0114543
Kitturu,15.5993334,74.7878902
Adoni,15.6261417,77.2723701
Yelburga,15.6152511,76.0127786
Siruguppa,15.6345569,76.8937407
Ron,15.6996944,75.7349912
Pernem,15.7166084,73.7972383
Naragunda,15.7220381,75.3846247
Gajendragad,15.7322026,75.9644618
Kushtagi,15.7571579,76.190682
Turavihala,15.7620689,76.5976263
Yemmiganuru,15.7680956,77.4819037
Savadatti,15.7671818,75.1174834
Sindhanur,15.7692192,76.7549604
Vetapalem,15.7807768,80.3070955
Banda,15.8136549,73.8634219
Bailahongala,15.816422,74.8568692
Mantralayam,15.9413643,77.4236981
Munavalli,15.8537336,75.1201998
Nandikotkur,15.8562,78.27
Vengurla,15.8619866,73.6321565
Muragod,15.8910179,74.9310127
Sawantwadi,15.9079601,73.8205306
Ilakal,15.9598085,76.11564
Manvi,15.9967483,77.0481181
Aiza,16.0154973,77.6665729
Kudal,16.0087654,73.6871941
Mudagal,16.012447,76.4410153
Hunagund,16.0618821,76.0603359
Kavitala,16.1074146,76.7943062
Lingasugur,16.1563,76.5242
Lokapura,16.1627427,75.3685939
Siravara,16.1753157,77.02154
Gokak,16.1693033,74.8224338
Raichur,16.1983225,77.3527444
Gadahinglaj,16.2236857,74.3515888
Tenali,16.2377735,80.6464219
Hukkeri,16.230857,74.6029767
Sankeshwara,16.2595741,74.4843495
Kankavali,16.2659486,73.7100588
Gargoti,16.3159183,74.1442177
Bilagi,16.3464175,75.6190861
Muddebihala,16.3351078,76.1339556
Mudhol,16.3338591,75.2870794
Vuyyuru,16.3649657,80.8426132
Mahalingapura,16.3879888,75.1115893
Nippani,16.4020402,74.3842372
Devadurga,16.4210218,76.9330038
Chikkodi,16.4265276,74.5861323
Gudivada,16.4330413,80.9936856
Kolahara,16.4719099,75.695105
Narasapuram,16.4386399,81.7014603
Hunasagi,16.4579407,76.5170932
Talikoti,16.474468,76.311706
Rabakavi Banahatti,16.4787444,75.1201255
Mangalagiri,16.4318209,80.5688069
Piduguralla,16.4822329,79.8856947
Rayabag,16.4916168,74.7741341
Teradala,16.4936178,75.0468551
Tadepalle,16.4791081,80.61834
Jamakhandi,16.503896,75.2910386
Makhtal,16.5010823,77.5133174
Surapura,16.5208523,76.7591995
Kaikaluru,16.5511918,81.213131
Bhimavaram,16.5427689,81.527344
Gannavaram,16.5407546,80.8051601
Gurazala,16.5589293,79.6368235
Basavana Bagevadi,16.5738547,75.9747123
Kagal,16.5750891,74.3152571
Akividu,16.582052,81.3732748
Dachepalli,16.5932206,79.7363829
Mummidivaram,16.6442012,82.1078853
Managoli,16.6523998,75.8127383
Kembhavi,16.6513126,76.5325062
Kurundwad,16.6810968,74.5915436
Shahapura,16.6991627,76.8410045
Gogi,16.73202,76.747477
Narayanpet,16.7477612,77.4949954
Mahbubnagar,16.7434538,77.9923191
Yadgiri,16.7670964,77.1403984
Jaysingpur,16.7789886,74.5564244
Nandigama,16.7734733,80.2855279
Gurumathakal,16.8679694,77.3929333
Tadepallegudem,16.8165294,81.5296984
Devara Hipparagi,16.8159903,76.0650583
Miraj,16.8190307,74.6432382
Vijayapura,16.8269911,75.7175387
Tikota,16.8431559,75.5226828
Lanja,16.8589596,73.5486886
Sangli,16.8502534,74.5948885
Miryalaguda,16.8710119,79.5617353
Jaggayyapeta,16.8930111,80.098646
Sindagi,16.9194778,76.2350305
Vissannapeta,16.9418867,80.783779
Ashta,16.9452,74.4071
Kodada,16.9947802,79.9749826
Ratnagiri,16.9933521,73.2954371
Jevaragi,17.0121947,76.7752353
Jath,17.0489913,75.21771
Wadi,17.0471835,76.9921386
Chintalapudi,17.0687339,80.9848668
Peddapuram,17.0756736,82.1433164
Shahabad,17.1241133,76.9418923
Jangareddygudem,17.1238205,81.2959633
Chittapura,17.1196144,77.0858642
Korukonda,17.1687627,81.8297169
Indi,17.1744599,75.9553764
Sedam,17.1772683,77.2823552
Afzalpur,17.2005764,76.3605783
Kusumanchi,17.225571,79.9554551
Chityal,17.2314588,79.1293471
Yeleswaram,17.2872691,82.1052362
Kalaburagi,17.3310003,76.8334228
Hyderabad,17.360589,78.4740613
Maindargi,17.4566199,76.2944772
Sangole,17.4362688,75.1932291
Rampachodavaram,17.439828,81.7752354
Chincholi,17.465199,77.4189669
Guhagar,17.4838362,73.191061
Mangalwedha,17.5128795,75.4486224
Akkalkot,17.5261113,76.2059338
Chiplun,17.5330311,73.5123013
Rajavommangi,17.5444104,82.2357592
Kohir,17.5996678,77.7169218
Palwancha,17.5976713,80.7057072
Rahimatpur,17.5909766,74.1990559
Solapur,17.6699734,75.9008118
Pandharpur,17.677817,75.3340992
Narsipatnam,17.6711811,82.6124371
Satara,17.688321,74.0041726
Koregaon,17.7004918,74.1580401
Chittaguppa,17.6985069,77.2161692
Khed,17.7184198,73.3956694
Visakhapatnam,17.6935526,83.2921297
Dapoli,17.7580463,73.1887078
Humanabad,17.7717915,77.128494
Wardhannapet,17.7733267,79.5761394
Sabbavaram,17.7905129,83.1244927
Konta,17.8110113,81.3830211
Mohol,17.8091566,75.6443849
Naldurg,17.8149863,76.278965
Chodavaram,17.8296788,82.9344845
Tupran,17.8406731,78.4777406
Umarga,17.8365426,76.6250052
Chintapalli,17.8706618,82.351824
Ghanpur,17.8520633,79.3766411
Gajwel,17.8456745,78.6828741
Basavakalyan,17.8694654,76.9518062
Bidar,17.9166022,77.511315
Panchgani,17.9239543,73.7992681
Phaltan,17.9907746,74.4298834
Tuljapur,18.0086617,76.0707924
Bhalki,18.0484556,77.2176221
Lasurne,18.0876323,74.7656871
Indapur,18.1171342,75.0262819
Vizianagaram,18.1141255,83.4114389
Paderu,18.0791533,82.6632234
Nilanga,18.1291893,76.7494127
Huzurabad,18.2018461,79.3956971
Parkal,18.1980527,79.7010375
Ausa,18.2510243,76.500958
Aurad,18.2548557,77.4151663
Srikakulam,18.2949307,83.8938844
Chipurupalle,18.3120723,83.5686458
Murud,18.3220393,72.9604835
Malakanagiri,18.3640874,81.8887516
Sukma,18.3932222,81.6569457
Udgir,18.3921349,77.1196118
Sircilla,18.3897573,78.8085973
Latur,18.3982273,76.5625913
Narasannapeta,18.4150974,84.0446974
Salur,18.517553,83.2050385
Degloor,18.5496593,77.5790877
Palakonda,18.6036798,83.7559931
Peddapalli,18.6177235,79.3868069
Nizamabad,18.6732693,78.0978477
Mukhed,18.7057087,77.3686564
Bodhan,18.6536941,77.8936802
Kaij,18.7141179,76.0651612
Ambajogai,18.7318232,76.3854836
Talegaon Dabhade,18.7337107,73.6728593
Patoda,18.805051,75.4830621
Palasa-Kasibugga,18.7694542,84.4179944
Bijapur,18.7935679,80.815939
Jagtial,18.7957081,78.9161959
Ashti,18.8035447,75.1714406
Dharur,18.8204315,76.1137332
Shirur,18.8265886,74.3725252
Metpalli,18.8488213,78.6258901
Parli,18.8485632,76.5297124
Kandhar,18.8718185,77.1924092
Uran,18.8808,72.9386
Dharmabad,18.8915074,77.8438253
Sompeta,18.9424871,84.5839641
Gangakhed,18.9692648,76.7504256
Beed,18.9904059,75.7542291
Wadwani,18.9906344,76.0410132
Sonpeth,19.0258671,76.4746527
Neral,19.0266373,73.3181185
Bellampalli,19.0639032,79.4873121
Ichchapuram,19.1127045,84.6887188
Kutru,19.0932122,80.7904019
Ahilyanagar,19.092952,74.7493451
Rayagada,19.1696,83.418
Nabarangapur,19.232359,82.5494484
Bhiwandi,19.3025562,73.0588072
Utnur,19.369594,78.7736687
Asifabad,19.3593461,79.2960404
Ghodegaon,19.3496722,74.8811801
Rahuri,19.3891776,74.6499061
Himayatnagar,19.4259433,77.8768022
Selu,19.4548608,76.4388052
Aundah,19.5408846,77.0408752
Akole,19.5419344,74.0092582
Partur,19.5856691,76.2139769
Kondagaon,19.5885769,81.6628742
Asika,19.6060868,84.6724523
Kinwat,19.6211721,78.2003138
Mantha,19.6443869,76.3869764
Palghar,19.6978751,72.7686942
Hingoli,19.7158472,77.1388362
Gangapur,19.6977616,75.0124415
Rajura,19.7792814,79.3657272
Puri,19.8076083,85.8252538
Jalna,19.8393394,75.8818806
Junagarh,19.8610794,82.9353189
Chhatrapati Sambhaji Nagar,19.877263,75.3390241
Kopargaon,19.885,74.4762
Pusad,19.9080759,77.5706555
Vaijapur,19.9266272,74.7286135
Deolali,19.9380426,73.8567115
Chandrapur,19.9508161,79.2986673
Sindkhed Raja,19.9540802,76.1257663
Risod,19.9778005,76.7897566
Lonar,19.9850956,76.5226964
Dahanu,19.9887244,72.733848
Pakhanjur,20.0387175,80.6244334
Nashik,20.0112475,73.7902364
Deulgaon Raja,20.0151691,76.0353471
Yeola,20.0429079,74.4880389
Arni,20.0653876,77.9519923
Wani,20.0574,78.9565
Mul,20.0651224,79.6767277
Ranpur,20.0632415,85.3444328
Digras,20.1041813,77.7167937
Washim,20.1029211,77.1353872
Ghatanji,20.1427699,78.3140429
Kesinga,20.1903644,83.2196816
Jafarabad,20.1957484,76.0105856
Malegaon,20.2367604,76.9998051
Warora,20.2342965,79.0027504
Kannad,20.2654298,75.1322409
Silvassa,20.2736768,73.0045787
Khandapada,20.2637344,85.1713704
Titlagarh,20.288849,83.1552029
Chandvad,20.3278147,74.2387228
Chikhli,20.349113,76.2524987
Vapi,20.371603,72.9166501
Yavatmal,20.390344,78.1328518
Patur,20.4602277,76.9380493
Chalisgaon,20.4626213,75.0069134
Cuttack,20.4686,85.8792
Phulbani,20.4762322,84.2348517
Ner,20.4919069,77.8678515
Choudwar,20.5276823,85.910155
Kendrapara,20.5042089,86.4159937
Hinganghat,20.5484132,78.8411206
Balapur,20.6683381,76.773777
Nandgaon Khandeshwar,20.6798162,77.8324046
Akola,20.7116604,77.002632
Athmallik,20.7218533,84.5347509
Murtijapur,20.7346452,77.3699281
Wardha,20.7464941,78.5997922
Kodinar,20.795759,70.7045453
Jamner,20.8084074,75.7801609
Nuapada,20.8085208,82.5340241
Pauni,20.7926372,79.6359627
Dhamangaon,20.7857563,78.1400186
Una,20.8198898,71.0391641
Angul,20.8382426,85.0973949
Subarnapur,20.8453864,83.909083
Jajpur,20.8522696,86.3385714
Bhuban,20.8821978,85.8334076
Malkapur,20.8875432,76.1984229
Dhule,20.898,74.7732
Veraval,20.9101099,70.365279
Navsari,20.952407,72.9323831
Sakri,20.9910829,74.3154391
Amalner,21.0400032,75.0703748
Bagbahra,21.0473726,82.3863574
Kankadahad,21.0701647,85.5697992
Jalgaon Jamod,21.0479439,76.5317596
Rajula,21.038617,71.4438845
Mahuva,21.0914409,71.7621979
Valod,21.0488646,73.2615399
Akot,21.0949,77.0526
Vyara,21.1121514,73.3960108
Mangrol,21.1241507,70.1199203
Kondhali,21.1373833,78.6402291
Mauda,21.1438248,79.3955738
Savda,21.1508089,75.8885226
Songadh,21.1702124,73.5622874
Navapur,21.1599,73.7941
Karanja,21.1629711,78.4102353
Dongargarh,21.1884868,80.7560121
Kamptee,21.2170645,79.1964178
Raver,21.2469,76.036
Chopda,21.2471857,75.2989555
Pithora,21.2530999,82.5156818
Shindkheda,21.270921,74.745656
Paratwada,21.2989934,77.5167471
Burhanpur,21.3118839,76.2291992
Mendarda,21.3232985,70.4425757
Bargarh,21.3335004,83.6190492
Visavadar,21.3417058,70.7534299
Shirpur,21.3527715,74.8841836
Nandurbar,21.363778,74.2411418
Talaja,21.3545788,72.0368814
Amgaon,21.3733211,80.3823893
Tumsar,21.3820399,79.7500206
Kharora,21.4004069,81.9263837
Umarpada,21.4563995,73.4757224
Chandipur,21.4699365,87.0518592
Warud,21.473109,78.2728518
Palitana,21.5236104,71.8219597
Shahada,21.5409188,74.4716616
Sausar,21.6535265,78.7969518
Pandhurna,21.5954798,78.5258489
Kasdol,21.6193745,82.4270994
Dediapada,21.6271369,73.5898076
Netrang,21.6395746,73.3661964
Porbandar,21.6409,69.611
Digha,21.6224576,87.5069427
Balodabazar,21.6564735,82.1605962
Lathi,21.724718,71.3899959
Sihor,21.720494,71.9605587
Dahej,21.7118382,72.5898083
Bharuch,21.7080427,72.9956936
Bhatapara,21.7353478,81.9444592
Chital,21.7346125,71.2004615
Dhoraji,21.734812,70.4491538
Betnoti,21.7418915,86.8456965
Bhavnagar,21.7718836,72.1416449
Karanjia,21.7578311,85.9726727
Katangi,21.7725576,79.8038021
Multai,21.7745903,78.2635058
Contai,21.7805923,87.7448286
Balaghat,21.8133417,80.1916685
Khandwa,21.8203752,76.3555424
Bhikangaon,21.8669568,75.9635237
Jam Kandoma,21.8926077,70.4972555
Koira,21.9068705,85.2505093
Baripada,21.9342456,86.7308825
Amla,21.9244135,78.1252113
Amod,21.9907832,72.8706259
Kawardha,22.0059254,81.2332055
Akaltara,22.0237482,82.4260255
Champua,22.0668387,85.6655176
Karjan,22.0523055,73.1216703
Chhindwara,22.0578244,78.9386203
Bilaspur,22.0785627,82.1476475
Seoni,22.0910049,79.5507791
Baihar,22.1050116,80.5481854
Kasrawad,22.1229442,75.6097401
Sundargarh,22.119973,84.0369931
Rajgangpur,22.1911263,84.5867472
Junnardeo,22.1950168,78.5946421
Barwala,22.1518623,71.8957058
Botad,22.1686,71.6685
Diamond Harbour,22.1926886,88.1894879
Gharghoda,22.1674127,83.3485457
Khirkiya,22.1671863,76.8618051
Maheshwar,22.177435,75.5873514
Jamai,22.2049139,78.5505553
Khambhaliya,22.2129642,69.6533407
Kalavad,22.2143736,70.3834253
Dharmapuri,22.1492635,75.3431477
Dwarka,22.2424747,68.9671448
Padra,22.2412214,73.0855259
Barwaha,22.2543335,76.0371519
Khambhat,22.3166806,72.6243126
Kharagpur,22.34309,87.3012875
Baruipur,22.3607154,88.4325575
Timarni,22.3664266,77.2224788
Medinipur,22.4207025,87.3269963
Lawngtlai,22.5280366,92.898086
Nainpur,22.4294001,80.106204
Vasad,22.4516351,73.0671647
Chakulia,22.4830145,86.7179264
Sayla,22.5494312,71.4820838
Chaibasa,22.550434,85.8024498
Kolkata,22.5726459,88.3638953
Limbdi,22.5674,71.8062
Kalol,22.6103179,73.4617061
Wankaner,22.6153934,70.9495617
Muli,22.6217,71.4527
Bagli,22.6414301,76.3490059
Tankara,22.6562177,70.7486911
Kannod,22.6663174,76.7436921
Nasrullahganj,22.6830589,77.2682559
Jodiya,22.6925104,70.3054102
Betma,22.6875139,75.6116714
Amarkantak,22.670465,81.7588417
Chakradharpur,22.6761161,85.6288955
Basirhat,22.6611962,88.8660215
Nadiad,22.6895535,72.8713603
Sohagpur,22.6994891,78.1962111
Wadhawan,22.710552,71.6784206
Dholka,22.726607,72.4411863
Indore,22.7203616,75.8681996
Kheda,22.7516133,72.6857205
Baduria,22.7366796,88.7873803
Sitapur,22.7785318,83.4950985
Bankheri,22.7713106,78.5341689
Pipariya,22.7591836,78.3532766
Mahudha,22.8201982,72.9386868
Morbi,22.8176662,70.8345928
Bavla,22.8278859,72.3684741
Dahod,22.8358786,74.2556823
મુન્દ્રા,22.8393153,69.7249477
Lakhtar,22.8553332,71.7916919
Lunglei,22.8931695,92.7470391
Arambagh,22.8765856,87.7908631
Kathlal,22.8985648,72.9908519
Kareli,22.9333855,79.0618955
Balasinor,22.9561711,73.3370129
Petlawad,23.0101544,74.7977374
Baghicha,22.9773184,83.6532045
Dhrangadhra,22.9914292,71.4663753
Ahmedabad,23.0215374,72.5800568
Kapadvanj,23.0232402,73.0727531
Halvad,23.0159728,71.1797028
Badi,23.0333288,78.0755755
Sabroom,23.0024859,91.7306775
Udaipura,23.0745681,78.5133515
Khunti,23.0770961,85.2800459
Pandua,23.0751399,88.2828926
Anuppur,23.1184595,81.6992038
Maliya,23.0931749,70.7599456
Lunavada,23.1290668,73.611114
Indpur,23.1568159,86.9227264
Jabalpur,23.1701522,79.9324505
Bundu,23.1609186,85.5901102
Ujjain,23.1885131,75.7716562
Patdi,23.1909514,71.7959976
Santrampur,23.1927742,73.8959255
Kushalgarh,23.1990144,74.4520656
Manendragarh,23.2167227,82.2035806
Bayad,23.2248593,73.2153042
Birnagar,23.2367126,88.5552105
Shantipur,23.2464,88.4437
Bhopal,23.2584857,77.401989
Thenzawl,23.2812844,92.7753405
ભચાઉ,23.2977,70.3459
Silwani,23.3011771,78.4404437
Chhatna,23.3115,86.9669
Kala Pipal,23.3358151,76.8350507
Malpur,23.3594332,73.4649753
Raisen,23.330111,77.7842511
નખત્રાણા,23.3495267,69.2653851
Nabadwip,23.4086684,88.3657991
Krishnanagar,23.4058481,88.4958935
Gairatganj,23.4101246,78.2212624
Shajapur,23.4240705,76.2838697
Bagidora,23.4033108,74.2662004
Mansa,23.425103,72.6583024
Prantij,23.4372086,72.8518061
Chapra,23.5203126,88.5498071
Melaghar,23.4947164,91.3300645
Majholi,23.4998001,79.9253697
Adra,23.4970875,86.6750811
Udaipur,23.5416162,91.4917593
Gaurjhamar,23.5247531,78.9373642
Umaria,23.5246558,80.8361408
Champhai,23.4787183,93.3198879
Sarangpur,23.5702907,76.4722144
રાપર,23.570746,70.6450466
Mahesana,23.6015557,72.3867981
Ramgarh,23.6303213,85.5215878
Barkakana,23.6187565,85.4517696
Katwa,23.644278,88.1287333
Tehatta,23.7339059,88.5333576
Harij,23.6931596,71.9008666
Gyaraspur,23.6690334,78.1124604
Latehar,23.74423,84.499839
Aizawl,23.7277631,92.7179947
Lengpui,23.8314147,92.6287719
Baghmara,23.789329,86.2041444
Nirsa,23.784437,86.7068534
Ramanujganj,23.806378,83.6998108
Shamsabad,23.8140102,77.495995
Dungarpur,23.8538893,73.7087177
Agartala,23.8312377,91.2823821
Idar,23.8411191,73.0000307
Basoda,23.8480899,77.941471
Gomoh,23.8735307,86.151587
Ambassa,23.9216436,91.8511393
Biaora,23.9167592,76.9106389
Beldanga,23.9396239,88.2495778
Sainthia,23.9496876,87.6829354
Jamtara,23.9630448,86.8027604
Kherwara,23.9853145,73.5945403
Karimpur,23.9816034,88.6296098
Rajgarh,24.0051159,76.733677
Bhabhar,24.0701471,71.5976062
Medininagar,24.0397192,84.0658109
Panki,24.0377324,84.4765431
Khedbrahma,24.0310837,73.0484016
Hariharpara,24.0436901,88.4230988
Khilchipur,24.0386844,76.5779471
Mandsaur,24.0682898,75.0742388
Suwasra,24.069588,75.6533298
Berhampore,24.1044927,88.2510635
Sarada,24.1440935,73.824259
Kurwai,24.1185386,78.0408203
Kamalpur,24.1737224,91.8171322
Domkal,24.1209008,88.5499213
Salumbar,24.1390484,74.0461856
Palanpur,24.1709794,72.4366375
Chachaura-Binaganj,24.1778426,77.0000858
Giridih,24.1862602,86.3087238
Murshidabad,24.1745993,88.2721335
Kailashahar,24.3194297,91.9984289
Sagardighi,24.2899135,88.0922003
Dumka,24.2677937,87.2485495
Madhupur,24.2741982,86.6392318
